City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
308,Taoudenni,ML,22.6783,-3.9836,76.01,11,0,7.27,clear sky
309,Macesu De Sus,RO,43.9167,23.7,51.67,63,100,8.57,overcast clouds
310,Mishkino,RU,55.3389,63.9175,2.1,98,61,3.49,broken clouds
311,Cidreira,BR,-30.1811,-50.2056,70.75,76,8,24.43,clear sky
312,Mukhen,RU,48.1,136.1,31.87,74,100,6.71,light snow
313,Itaituba,BR,-4.2761,-55.9836,82.56,78,20,5.75,light rain
314,San Cristobal,VE,7.7669,-72.225,78.98,67,45,3.02,scattered clouds
315,Tabou,CI,4.423,-7.3528,73.71,86,82,7.81,moderate rain
316,Batemans Bay,AU,-35.7167,150.1833,65.1,47,1,11.32,clear sky
317,Kongolo,CD,-5.3833,27.0,69.31,93,83,1.23,broken clouds
318,Tecoanapa,MX,16.5167,-98.75,84.16,65,97,8.03,overcast clouds
319,Sobradinho,BR,-12.8333,-39.1,73.92,82,93,5.93,overcast clouds
320,Solnechnyy,RU,50.7214,136.6319,21.47,90,100,5.66,overcast clouds
321,Slantsy,RU,59.1182,28.0914,22.66,80,99,7.16,overcast clouds
322,Lompoc,US,34.6391,-120.4579,76.01,26,0,8.05,clear sky
323,Eirunepe,BR,-6.6603,-69.8736,83.23,72,100,2.93,overcast clouds
324,Santos Dumont,BR,-21.4567,-43.5525,72.57,87,100,4.32,overcast clouds
325,Kalakamati,BW,-20.5929,27.3121,79.48,23,2,6.26,clear sky
326,Lufilufi,WS,-13.8745,-171.5986,85.78,76,18,7.83,few clouds
327,Mount Isa,AU,-20.7333,139.5,74.97,94,40,6.91,shower rain
328,Mpanda,TZ,-6.3655,31.0409,64.4,95,97,1.12,overcast clouds
329,Nanortalik,GL,60.1432,-45.2371,30.56,82,100,10.27,overcast clouds
330,Avdon,RU,54.6667,55.7167,4.32,92,40,2.24,scattered clouds
331,Kuryk,KZ,43.2,51.65,51.76,57,8,10.33,clear sky
332,Sao Jose Da Tapera,BR,-9.5583,-37.3811,82.18,51,88,18.1,overcast clouds
333,Payo,ID,-3.7508,103.6372,71.17,96,99,2.04,overcast clouds
334,Coxim,BR,-18.5067,-54.76,101.37,18,42,4.92,scattered clouds
335,Tual,ID,-5.6667,132.75,82.44,78,100,14.36,light rain
336,Black River,JM,18.0264,-77.8487,83.26,71,38,12.75,scattered clouds
337,Muborak,UZ,39.2553,65.1528,54.64,66,41,7.02,scattered clouds
338,Ilulissat,GL,69.2167,-51.1,13.55,77,29,4.63,scattered clouds
339,Nabire,ID,-3.3667,135.4833,73.2,95,100,5.86,light rain
340,San Policarpo,PH,12.1791,125.5072,78.21,85,100,1.12,moderate rain
341,Goderich,CA,43.7501,-81.7165,31.91,69,100,21.85,overcast clouds
